Protein1,Protein2,Combined Score
3595,2613,293
3595,1179,234
3595,4965,357
3595,2594,362
3595,4341,182
3595,697,152
3595,4451,364
3595,55,160
3595,2429,195
3595,4694,401
3595,4621,166
3595,3059,813
3595,994,185
3595,1662,295
3595,4307,221
3595,5860,176
3595,4897,933
3595,619,183
3595,1060,594
3595,481,180
3595,4550,154
3595,4448,313
3595,3186,207
3595,1190,184
3595,4133,209
3595,4499,157
3595,2086,165
3595,4122,930
3595,1349,239
3595,2763,177
3595,1016,175
3595,360,153
3595,2130,181
3595,1117,171
3595,1954,152
3595,2803,151
3595,5737,207
3595,2697,175
3595,3771,501
3595,3584,214
3595,2467,182
3595,1759,215
3595,830,246
3595,287,327
3595,1685,199
3595,3382,263
3595,5791,659
3595,5385,168
3595,4738,310
3595,672,201
3595,1343,192
3595,5817,246
3595,4037,208
3595,1959,173
3595,841,195
3595,4388,327
3595,3937,387
3595,772,271
3595,5352,480
3595,2508,335
3595,4919,188
3595,889,302
3595,3768,171
3595,2746,174
3595,207,168
3595,1873,322
3595,5934,478
3595,1140,199
3595,1034,151
3595,828,260
3595,5615,326
3595,4208,170
3595,2795,935
3595,4378,269
3595,3947,185
3595,453,152
3595,4898,190
3595,4164,167
3595,4132,370
3595,4654,290
3595,4290,344
3595,4980,554
3595,1335,308
3595,806,427
3595,1581,196
3595,2356,196
3595,1561,206
3595,2757,362
3595,5010,167
3595,1283,659
3595,996,164
3595,4993,373
3595,2232,375
3595,736,201
3595,2554,236
3595,201,206
3595,3651,174
3595,1526,981
3595,3290,299
3595,3023,925
3595,3436,177
3595,2560,160
3595,5858,962
3595,2076,306
3595,27,154
3595,5403,479
3595,1242,348
3595,1097,827
3595,2532,168
3595,4195,155
3595,4820,184
3595,2245,157
3595,2410,389
3595,3737,520
3595,479,159
3595,5629,182
3595,115,203
3595,1451,198
3595,5756,258
3595,4387,409
3595,4985,215
3595,5961,248
3595,3108,172
3595,4892,542
3595,4625,906
3595,2141,156
3595,5978,151
3595,2609,259
3595,6023,158
3595,5884,350
3595,2903,282
3595,2607,448
3595,4163,179
3595,2247,271
3595,3085,316
3595,4217,190
3595,721,356
3595,587,207
3595,5488,659
3595,4758,465
3595,4004,181
3595,3904,174
3595,4941,283
3595,5117,151
3595,3815,150
3595,1691,665
3595,5954,156
3595,4205,368
3595,791,222
3595,5207,155
3595,3424,224
3595,2391,163
3595,4607,385
3595,980,483
3595,148,183
3595,1972,641
3595,2293,236
3595,3905,310
3595,4063,159
3595,4509,200
3595,136,202
3595,2335,325
3595,1303,170
3595,4128,276
3595,4023,337
3595,5021,197
3595,1266,166
3595,2718,261
3595,2867,165
3595,1167,206
3595,5163,165
3595,1038,276
3595,3364,182
3595,4309,160
3595,5946,161
3595,4589,924
3595,4335,592
3595,3325,198
3595,5553,157
3595,2363,158
3595,2606,156
3595,825,157
806,1248,532
806,3452,204
806,875,214
806,3680,549
806,5541,266
806,3695,175
806,2405,332
806,70,266
806,2470,284
806,4333,166
806,1590,473
806,2806,253
806,214,390
806,4183,234
806,1611,150
806,2986,179
806,4367,357
806,2480,618
806,1594,174
806,319,346
806,3987,173
806,2760,414
806,2207,157
806,21,281
806,2392,502
806,3059,427
806,3678,250
806,1368,402
806,2053,274
806,3595,427
806,5217,279
806,3650,261
806,3856,309
806,4196,169
806,1872,222
806,1955,167
806,5266,162
806,4203,368
806,5084,357
806,9,241
806,1046,405
806,4307,250
806,3688,218
806,3959,996
806,726,288
806,5977,486
806,619,194
806,1434,540
806,766,151
806,5119,902
806,83,376
806,1449,203
806,5522,321
806,3352,167
806,3125,615
806,408,342
806,5334,186
806,4397,550
806,5813,210
806,1006,596
806,87,195
806,5925,752
806,5795,279
806,481,229
806,4193,408
806,455,260
806,254,290
806,4058,311
806,3186,279
806,1815,475
806,3507,229
806,5644,252
806,2531,161
806,1390,235
806,3228,237
806,2819,180
806,1854,165
806,5844,364
806,2233,171
806,4499,706
806,2330,287
806,955,532
806,1620,328
806,4080,540
806,2153,174
806,1365,177
806,2341,158
806,3697,177
806,4224,236
806,361,352
806,3366,242
806,5158,343
806,5769,235
806,4804,203
806,5924,337
806,2084,543
806,1682,745
806,5083,204
806,1618,219
806,5439,287
806,628,168
806,1130,482
806,2186,993
806,4383,256
806,1342,160
806,1482,172
806,5009,203
806,4740,995
806,3418,252
806,3130,169
806,676,187
806,3149,272
806,489,173
806,3065,166
806,4261,262
806,5185,188
806,4837,154
806,698,186
806,3584,176
806,1686,380
806,748,273
806,5964,193
806,1488,158
806,2841,202
806,3992,205
806,4849,182
806,744,344
806,4742,190
806,3100,152
806,3610,303
806,4151,193
806,549,490
806,192,826
806,495,162
806,5499,234
806,4336,150
806,4738,212
806,5074,849
806,1378,222
806,4970,329
806,2202,193
806,1387,153
806,6030,187
806,5701,270
806,5357,175
806,477,295
806,5287,540
806,3257,252
806,4329,194
806,4256,394
806,1343,177
806,4533,193
806,3973,361
806,3169,189
806,4180,396
806,4037,334
806,5770,233
806,2796,162
806,5874,310
806,985,225
806,3449,540
806,3682,341
806,5948,169
806,1635,232
806,1333,382
806,827,230
806,5029,665
806,542,171
806,5134,256
806,485,180
806,772,165
806,1262,166
806,5027,491
806,5972,429
806,1525,183
806,3806,998
806,5250,487
806,3015,354
806,1173,188
806,5452,907
806,4919,173
806,1310,325
806,4398,500
806,3768,195
806,2476,172
806,880,309
806,1775,431
