Drug,Protein
0,1159
0,469
0,2490
0,1167
0,4501
0,3383
0,4789
0,5222
0,5942
0,2511
0,3551
0,5954
1,3583
2,5322
2,4351
2,3629
3,3383
3,5942
3,2632
4,947
4,2808
4,5954
4,3314
4,3985
4,5852
5,5495
5,1445
5,1895
6,5061
6,2833
6,4134
6,2532
7,5322
7,3629
7,3247
7,2379
8,3167
8,1372
9,5322
9,3629
10,5219
10,2167
10,587
10,5772
10,3383
10,5942
10,3000
10,2632
10,3900
10,1588
10,5735
11,4876
11,5219
11,1540
11,1295
11,4187
11,5624
11,469
11,2005
11,3695
11,1167
11,4501
11,4570
11,3383
11,4789
11,5896
11,5942
11,2632
11,3900
11,325
12,1167
12,3900
13,1002
13,2175
14,5219
14,3882
14,4308
14,3921
14,1372
14,2022
14,2887
15,5011
16,1429
16,5043
17,563
18,5889
18,180
19,2167
19,2299
19,623
19,1629
19,5927
19,4169
19,2022
20,4606
21,5325
21,83
22,572
22,5687
22,2431
23,4934
23,4949
23,1056
23,3915
23,4665
23,1520
23,5823
23,2598
23,3716
23,5815
23,2397
23,876
23,1093
23,1186
23,881
23,2493
23,3042
23,3574
24,5927
25,1002
25,2175
25,5897
26,4876
26,1540
26,5896
27,5640
27,3951
27,3543
27,5358
27,4115
27,760
27,360
27,1243
27,589
28,1244
28,2829
29,623
29,1629
29,5927
29,2392
30,1295
31,623
31,1629
31,5927
31,678
32,2038
32,5152
32,3176
32,4863
32,299
33,9
34,708
34,3043
34,5924
34,4381
34,5380
34,1923
34,544
34,1766
34,4292
34,5086
34,5255
34,3429
34,4058
34,5430
34,2518
34,1428
34,708
34,3043
34,5924
34,5380
34,3429
34,4058
34,5430
35,2299
35,3383
35,3064
35,5954
35,1010
35,3709
36,4365
36,723
36,1963
36,3432
36,2572
36,1548
36,4810
36,1547
37,3200
37,3336
37,4708
37,1297
37,5302
37,3022
37,5427
37,4748
38,3167
38,3882
38,5792
38,4888
38,1372
38,282
38,858
38,3265
38,4475
39,1295
40,1244
40,2829
41,5322
41,3629
