Protein,Disease
3084,0
31,0
5545,0
3438,0
792,0
353,0
2029,0
220,0
1891,0
1665,0
659,0
4229,0
1769,0
5392,0
3323,0
711,0
3603,0
1384,0
5579,0
2740,0
3040,0
4842,0
5931,0
2511,0
960,0
2950,0
656,0
3090,0
5377,0
5642,0
310,0
5859,0
4890,0
3496,0
2010,0
3171,0
2138,0
3016,0
4168,0
1225,0
1701,0
2196,0
284,0
308,0
305,1
2473,1
2008,1
579,1
828,1
1179,1
1896,1
3811,1
1184,1
2836,1
2359,1
5000,1
3463,1
656,1
4638,1
4829,1
3258,1
4912,1
4900,1
2013,1
5246,1
5644,3
5683,3
1991,3
1445,3
5869,3
4739,3
1193,3
3905,3
3496,3
4169,3
2803,6
1247,6
5909,6
1616,6
5377,7
5644,8
4953,8
5944,9
454,9
3682,9
5155,9
31,9
1777,9
3557,9
526,9
2229,9
1639,9
4804,9
918,9
3427,9
1045,9
590,9
4622,9
5592,9
863,9
1059,9
4144,9
1938,9
1117,9
323,9
3954,9
46,9
5890,9
4442,9
2791,9
4669,9
4169,9
5229,9
3629,9
5053,9
5996,9
2326,9
1941,9
5013,9
994,9
4449,9
5008,10
4062,10
5661,10
2864,10
4079,10
3084,10
5942,10
5944,10
236,10
1388,10
31,10
2008,10
5644,10
5683,10
2861,10
4603,10
5725,10
1164,10
2674,10
5852,10
441,10
353,10
2662,10
5845,10
5926,10
3744,10
220,10
1891,10
1589,10
1159,10
711,10
4065,10
2919,10
1445,10
5579,10
2345,10
2359,10
5380,10
467,10
3036,10
2292,10
2307,10
586,10
3463,10
2325,10
5979,10
1652,10
3225,10
3211,10
1834,10
2007,10
1072,10
1443,10
3026,10
5987,10
4144,10
2587,10
5377,10
4651,10
1627,10
5731,10
1193,10
946,10
2358,10
952,10
5859,10
5914,10
3305,10
4731,10
3496,10
2010,10
4431,10
911,10
113,10
3916,10
5577,10
4169,10
1913,10
3629,10
5871,10
5165,10
4361,10
5234,10
1595,10
1448,10
3733,10
5285,10
4912,10
3156,10
4423,10
4291,10
3946,10
1585,10
1771,10
5331,10
5235,10
5751,10
4964,10
464,10
1697,10
4194,10
535,10
3682,11
3814,11
1040,11
5702,11
2956,11
639,11
897,11
5512,11
2835,11
4229,11
3519,11
4137,11
3688,11
383,11
4663,11
2250,11
4768,11
2365,11
2136,11
590,11
286,11
960,11
863,11
3597,11
4476,11
5642,11
211,11
952,11
5739,11
605,11
1342,11
4334,11
5537,11
3670,11
4038,11
3535,11
4351,11
5345,11
341,11
2118,11
730,11
4310,12
4704,12
4706,12
3084,12
2895,12
5395,12
5683,12
618,12
5728,12
353,12
714,12
2662,12
2029,12
5845,12
220,12
5416,12
1891,12
4229,12
711,12
2919,12
5579,12
3307,12
3406,12
4525,12
857,12
2039,12
423,12
3002,12
1098,12
1167,12
2123,12
4478,12
960,12
4786,12
5550,12
3060,12
952,12
1154,12
5859,12
568,12
623,12
3305,12
3929,12
5723,12
5251,12
2411,12
109,12
4169,12
2613,12
