Protein1,Protein2,Score
3574,2598,293
3574,1175,234
3574,4934,357
3574,2579,362
3574,4314,182
3574,693,152
3574,4422,364
3574,55,160
3574,2415,195
3574,4665,401
3574,4592,166
3574,3042,813
3574,990,185
3574,1655,295
3574,4282,221
3574,5825,176
3574,4866,933
3574,615,183
3574,1056,594
3574,478,180
3574,4521,154
3574,4419,313
3574,3167,207
3574,1186,184
3574,4111,209
3574,4470,157
3574,2077,165
3574,4100,930
3574,1343,239
3574,2747,177
3574,1012,175
3574,357,153
3574,2121,181
3574,1113,171
3574,1946,152
3574,2787,151
3574,5703,207
3574,2682,175
3574,3750,501
3574,3563,214
3574,2453,182
3574,1752,215
3574,826,246
3574,285,327
3574,1678,199
3574,3362,263
3574,5756,659
3574,5352,168
3574,4709,310
3574,668,201
3574,1337,192
3574,5782,246
3574,4015,208
3574,1951,173
3574,837,195
3574,4360,327
3574,3915,387
3574,768,271
3574,5319,480
3574,2494,335
3574,4888,188
3574,885,302
3574,3747,171
3574,2730,174
3574,206,168
3574,1866,322
3574,5898,478
3574,1136,199
3574,1030,151
3574,824,260
3574,5582,326
3574,4183,170
3574,2779,935
3574,4351,269
3574,3925,185
3574,450,152
3574,4867,190
3574,4141,167
3574,4110,370
3574,4625,290
3574,4265,344
3574,4949,554
3574,1329,308
3574,802,427
3574,1575,196
3574,2343,196
3574,1555,206
3574,2741,362
3574,4979,167
3574,1277,659
3574,992,164
3574,4962,373
3574,2221,375
3574,732,201
3574,2539,236
3574,200,206
3574,3630,174
3574,1520,981
3574,3271,299
3574,3007,925
3574,3416,177
3574,2545,160
3574,5823,962
3574,2067,306
3574,27,154
3574,5370,479
3574,1238,348
3574,1093,827
3574,2518,168
3574,4170,155
3574,4790,184
3574,2234,157
3574,2397,389
3574,3716,520
3574,476,159
3574,5596,182
3574,115,203
3574,1445,198
3574,5722,258
3574,4359,409
3574,4954,215
3574,5925,248
3574,3090,172
3574,4861,542
3574,4596,906
3574,2132,156
3574,5942,151
3574,2594,259
3574,5986,158
3574,5848,350
3574,2887,282
3574,2592,448
3574,4140,179
3574,2236,271
3574,3067,316
3574,4192,190
3574,717,356
3574,583,207
3574,5455,659
3574,4729,465
3574,3982,181
3574,3882,174
3574,4910,283
3574,5086,151
3574,3793,150
3574,1684,665
3574,5918,156
3574,4180,368
3574,787,222
3574,5176,155
3574,3404,224
3574,2378,163
3574,4578,385
3574,976,483
3574,148,183
3574,1964,641
3574,2280,236
3574,3883,310
3574,4041,159
3574,4480,200
3574,136,202
3574,2322,325
3574,1297,170
3574,4106,276
3574,4001,337
3574,4990,197
3574,1262,166
3574,2702,261
3574,2851,165
3574,1163,206
3574,5132,165
3574,1034,276
3574,3345,182
3574,4284,160
3574,5910,161
3574,4560,924
3574,4308,592
3574,3306,198
3574,5520,157
3574,2350,158
3574,2591,156
3574,821,157
802,1244,532
802,3432,204
802,871,214
802,3659,549
802,5508,266
802,3674,175
802,2392,332
802,70,266
802,2456,284
802,4306,166
802,1584,473
802,2790,253
802,213,390
802,4158,234
802,1604,150
802,2970,179
802,4340,357
802,2466,618
802,1588,174
802,317,346
802,3965,173
802,2744,414
802,2196,157
802,21,281
802,2379,502
802,3042,427
802,3657,250
802,1362,402
802,2044,274
802,3574,427
802,5186,279
802,3629,261
802,3834,309
802,4171,169
802,1865,222
802,1947,167
802,5235,162
802,4178,368
802,5053,357
802,9,241
802,1042,405
802,4282,250
802,3667,218
802,3937,996
802,722,288
802,5941,486
802,615,194
802,1428,540
802,762,151
802,5088,902
802,83,376
802,1443,203
802,5489,321
802,3333,167
802,3107,615
802,405,342
802,5302,186
802,4369,550
802,5778,210
802,1002,596
802,87,195
802,5889,752
802,5760,279
802,478,229
802,4168,408
802,452,260
802,252,290
802,4036,311
802,3167,279
802,1808,475
802,3486,229
802,5611,252
802,2517,161
802,1384,235
802,3209,237
802,2803,180
802,1847,165
802,5809,364
802,2222,171
802,4470,706
802,2317,287
802,951,532
802,1613,328
802,4058,540
802,2144,174
802,1359,177
802,2328,158
802,3676,177
802,4199,236
802,358,352
802,3347,242
802,5127,343
