dataset_drug_id,dataset_drug_name,ctd_chemical_id,ctd_chemical_name,matched_alias
DB00014,Goserelin,MESH:D017273,Goserelin,Goserelin
DB00035,Desmopressin,MESH:D003894,Deamino Arginine Vasopressin,Desmopressin
DB00091,Cyclosporine,MESH:D016572,Cyclosporine,Cyclosporine
DB00104,Octreotide,MESH:D015282,Octreotide,Octreotide
DB00115,Cyanocobalamin,MESH:D014805,Vitamin B 12,Cyanocobalamin
DB00122,Choline,MESH:D002794,Choline,Choline
DB00125,Arginine,MESH:D001120,Arginine,Arginine
DB00126,Ascorbic acid,MESH:D001205,Ascorbic Acid,Ascorbic acid
DB00131,Adenosine phosphate,MESH:D000227,Adenine Nucleotides,Adenosine phosphate
DB00136,Calcitriol,MESH:D002117,Calcitriol,Calcitriol
DB00140,Riboflavin,MESH:D012256,Riboflavin,Riboflavin
DB00141,N-Acetylglucosamine,MESH:D000117,Acetylglucosamine,N-Acetylglucosamine
DB00146,Calcifediol,MESH:D002112,Calcifediol,Calcifediol
DB00152,Thiamine,MESH:D013831,Thiamine,Thiamine
DB00153,Ergocalciferol,MESH:D004872,Ergocalciferols,Ergocalciferol
DB00158,Folic acid,MESH:D005492,Folic Acid,Folic acid
DB00159,Icosapent,MESH:D015118,Eicosapentaenoic Acid,Icosapent
DB00160,Alanine,MESH:D000409,Alanine,Alanine
DB00162,Vitamin A,MESH:D014801,Vitamin A,Vitamin A
DB00163,Vitamin E,MESH:D014810,Vitamin E,Vitamin E
DB00165,Pyridoxine,MESH:D011736,Pyridoxine,Pyridoxine
DB00167,Isoleucine,MESH:D007532,Isoleucine,Isoleucine
DB00169,Cholecalciferol,MESH:D002762,Cholecalciferol,Cholecalciferol
DB00175,Pravastatin,MESH:D017035,Pravastatin,Pravastatin
DB00176,Fluvoxamine,MESH:D016666,Fluvoxamine,Fluvoxamine
DB00177,Valsartan,MESH:D000068756,Valsartan,Valsartan
DB00178,Ramipril,MESH:D017257,Ramipril,Ramipril
DB00179,Masoprocol,MESH:D009637,Masoprocol,Masoprocol
DB00180,Flunisolide,MESH:C007734,flunisolide,Flunisolide
DB00181,Baclofen,MESH:D001418,Baclofen,Baclofen
DB00182,Amphetamine,MESH:D000661,Amphetamine,Amphetamine
DB00186,Lorazepam,MESH:D008140,Lorazepam,Lorazepam
DB00187,Esmolol,MESH:C036604,esmolol,Esmolol
DB00188,Bortezomib,MESH:D000069286,Bortezomib,Bortezomib
DB00190,Carbidopa,MESH:D002230,Carbidopa,Carbidopa
DB00191,Phentermine,MESH:D010645,Phentermine,Phentermine
DB00193,Tramadol,MESH:D014147,Tramadol,Tramadol
DB00195,Betaxolol,MESH:D015784,Betaxolol,Betaxolol
DB00199,Erythromycin,MESH:D004917,Erythromycin,Erythromycin
DB00200,Hydroxocobalamin,MESH:D006879,Hydroxocobalamin,Hydroxocobalamin
DB00201,Caffeine,MESH:D002110,Caffeine,Caffeine
DB00203,Sildenafil,MESH:D000068677,Sildenafil Citrate,Sildenafil
DB00204,Dofetilide,MESH:C063533,dofetilide,Dofetilide
DB00206,Reserpine,MESH:D012110,Reserpine,Reserpine
DB00208,Ticlopidine,MESH:D013988,Ticlopidine,Ticlopidine
DB00210,Adapalene,MESH:D000068816,Adapalene,Adapalene
DB00211,Midodrine,MESH:D008879,Midodrine,Midodrine
DB00213,Pantoprazole,MESH:D000077402,Pantoprazole,Pantoprazole
DB00214,Torasemide,MESH:D000077786,Torsemide,Torasemide
DB00215,Citalopram,MESH:D015283,Citalopram,Citalopram
DB00216,Eletriptan,MESH:C115647,eletriptan,Eletriptan
DB00218,Moxifloxacin,MESH:D000077266,Moxifloxacin,Moxifloxacin
DB00221,Isoetharine,MESH:D007528,Isoetharine,Isoetharine
DB00222,Glimepiride,MESH:C057619,glimepiride,Glimepiride
DB00226,Guanadrel,MESH:C004945,guanadrel,Guanadrel
DB00227,Lovastatin,MESH:D008148,Lovastatin,Lovastatin
DB00230,Pregabalin,MESH:D000069583,Pregabalin,Pregabalin
DB00232,Methyclothiazide,MESH:D008736,Methyclothiazide,Methyclothiazide
DB00236,Pipobroman,MESH:D010885,Pipobroman,Pipobroman
DB00240,Alclometasone,,,
DB00241,Butalbital,MESH:C004470,butalbital,Butalbital
DB00242,Cladribine,MESH:D017338,Cladribine,Cladribine
DB00244,Mesalazine,MESH:D019804,Mesalamine,Mesalazine
DB00245,Benzatropine,MESH:D001590,Benztropine,Benzatropine
DB00246,Ziprasidone,MESH:C092292,ziprasidone,Ziprasidone
DB00248,Cabergoline,MESH:D000077465,Cabergoline,Cabergoline
DB00252,Phenytoin,MESH:D010672,Phenytoin,Phenytoin
DB00253,Medrysone,MESH:C100283,medrysone,Medrysone
DB00255,Diethylstilbestrol,MESH:D004054,Diethylstilbestrol,Diethylstilbestrol
DB00257,Clotrimazole,MESH:D003022,Clotrimazole,Clotrimazole
DB00262,Carmustine,MESH:D002330,Carmustine,Carmustine
DB00264,Metoprolol,MESH:D008790,Metoprolol,Metoprolol
DB00268,Ropinirole,MESH:C046649,ropinirole,Ropinirole
DB00270,Isradipine,MESH:D017275,Isradipine,Isradipine
DB00271,Diatrizoate,MESH:D003973,Diatrizoate,Diatrizoate
DB00273,Topiramate,MESH:D000077236,Topiramate,Topiramate
DB00275,Olmesartan,MESH:C437965,olmesartan,Olmesartan
DB00276,Amsacrine,MESH:D000677,Amsacrine,Amsacrine
DB00277,Theophylline,MESH:D013806,Theophylline,Theophylline
DB00278,Argatroban,MESH:C031942,argatroban,Argatroban
DB00279,Liothyronine,MESH:D014284,Triiodothyronine,Liothyronine
DB00280,Disopyramide,MESH:D004206,Disopyramide,Disopyramide
DB00281,Lidocaine,MESH:D008012,Lidocaine,Lidocaine
DB00282,Pamidronic acid,MESH:D000077268,Pamidronate,Pamidronic acid
DB00283,Clemastine,MESH:D002974,Clemastine,Clemastine
DB00284,Acarbose,MESH:D020909,Acarbose,Acarbose
DB00285,Venlafaxine,MESH:D000069470,Venlafaxine Hydrochloride,Venlafaxine
DB00286,Conjugated estrogens,MESH:D004966,"Estrogens, Conjugated (USP)",Conjugated estrogens
DB00287,Travoprost,MESH:D000069557,Travoprost,Travoprost
DB00289,Atomoxetine,MESH:D000069445,Atomoxetine Hydrochloride,Atomoxetine
DB00290,Bleomycin,MESH:D001761,Bleomycin,Bleomycin
DB00295,Morphine,MESH:D009020,Morphine,Morphine
DB00297,Bupivacaine,MESH:D002045,Bupivacaine,Bupivacaine
DB00302,Tranexamic acid,MESH:D014148,Tranexamic Acid,Tranexamic acid
DB00304,Desogestrel,MESH:D017135,Desogestrel,Desogestrel
DB00305,Mitomycin,MESH:D016685,Mitomycin,Mitomycin
DB00307,Bexarotene,MESH:D000077610,Bexarotene,Bexarotene
DB00308,Ibutilide,MESH:C067192,ibutilide,Ibutilide
DB00310,Chlorthalidone,MESH:D002752,Chlorthalidone,Chlorthalidone
