Drug,Protein
0,2845
0,2955
0,4482
0,4590
0,6825
0,7398
0,8930
0,9000
0,9993
0,11123
0,12201
0,15708
2,485
2,2257
2,2560
2,2910
2,4032
2,4483
2,5613
2,9115
2,15965
6,1
6,2
6,4
6,5
6,6
6,7
6,8
6,9
6,11
6,12
6,14
6,15
6,16
6,18
6,19
6,20
6,22
6,27
6,28
6,29
6,32
6,33
6,36
6,38
6,40
6,44
6,46
6,47
6,48
6,49
6,51
6,52
6,53
6,54
6,56
6,58
6,59
6,61
6,62
6,63
6,65
6,74
6,75
6,77
6,78
6,79
6,80
6,82
6,89
6,94
6,95
6,96
6,97
6,99
6,101
6,104
6,106
6,108
6,109
6,110
6,111
6,113
6,114
6,115
6,116
6,117
6,118
6,119
6,120
6,122
6,124
6,125
6,126
6,127
6,129
6,131
6,132
6,133
6,134
6,137
6,139
6,142
6,143
6,146
6,147
6,148
6,149
6,150
6,152
6,153
6,154
6,155
6,156
6,157
6,158
6,159
6,162
6,164
6,165
6,166
6,168
6,170
6,171
6,173
6,175
6,176
6,177
6,179
6,181
6,183
6,184
6,187
6,188
6,191
6,193
6,196
6,197
6,198
6,199
6,200
6,204
6,205
6,206
6,207
6,208
6,210
6,213
6,214
6,216
6,218
6,219
6,222
6,224
6,226
6,227
6,233
6,237
6,240
6,249
6,251
6,252
6,254
6,259
6,267
6,268
6,269
6,273
6,274
6,276
6,278
6,281
6,282
6,284
6,287
6,288
6,292
6,293
6,294
6,297
6,299
6,301
6,305
6,306
6,307
6,312
6,314
6,316
6,318
6,319
6,320
6,321
6,323
6,324
6,325
6,326
6,328
6,331
6,333
6,334
6,335
6,337
6,338
6,341
6,342
6,343
6,345
6,347
6,348
6,349
6,353
6,358
6,360
6,361
6,365
6,368
6,370
6,373
6,376
6,378
6,379
6,380
6,383
6,384
6,388
6,389
6,391
6,394
6,395
6,397
6,399
6,401
6,402
6,404
6,406
6,410
6,412
6,413
6,414
6,415
6,416
6,417
6,420
6,421
6,423
6,424
6,425
6,426
6,427
6,430
6,431
6,432
6,438
6,439
6,440
6,441
6,445
6,446
6,449
6,452
6,453
6,455
6,456
6,457
6,459
6,460
6,461
6,463
6,464
6,465
6,466
6,467
6,468
6,470
6,472
6,473
6,475
6,477
6,478
6,479
6,481
6,482
6,484
6,485
6,486
6,488
6,490
6,491
6,492
6,496
6,497
6,498
6,506
6,508
6,509
6,510
6,511
6,513
6,514
6,515
6,516
6,520
6,522
6,523
6,526
6,528
6,530
6,532
6,538
6,541
6,543
6,544
6,545
6,548
6,550
6,551
6,552
6,553
6,554
6,555
6,556
6,557
6,558
6,560
6,561
6,562
6,564
6,566
6,567
6,568
6,570
6,571
6,572
6,573
6,576
6,583
6,584
6,586
6,587
6,588
6,589
6,590
6,592
6,595
6,598
6,601
6,602
6,604
6,606
6,608
6,609
6,610
6,611
6,613
6,615
6,616
6,620
6,622
6,623
6,624
6,626
6,627
6,628
6,631
6,632
6,633
6,634
6,635
6,637
6,639
6,640
6,641
6,642
6,643
6,644
6,648
6,650
6,653
6,654
6,656
6,657
6,658
6,659
6,662
6,663
6,664
6,667
6,669
6,671
6,677
6,678
6,679
6,680
6,682
6,684
6,685
6,687
6,689
6,691
6,692
6,693
6,696
6,697
6,699
6,700
6,701
6,702
6,704
6,705
6,716
6,717
6,720
6,721
6,724
6,726
6,732
6,733
6,734
6,735
6,736
6,737
6,739
6,743
6,744
6,745
6,747
6,748
6,749
6,751
6,752
6,753
6,755
6,756
6,757
6,760
6,761
6,763
6,764
6,765
6,766
6,767
6,770
6,771
6,772
6,774
6,775
6,777
6,778
6,779
6,780
6,784
6,787
6,788
6,789
6,790
6,798
6,800
6,804
6,805
6,806
6,813
6,814
6,818
6,822
6,828
6,829
6,831
6,832
6,833
6,835
6,836
6,838
6,843
6,846
6,850
6,851
6,854
6,855
6,856
6,859
6,866
6,868
6,869
6,871
6,872
6,875
6,876
6,877
6,878
6,881
6,882
6,883
6,884
6,885
6,889
6,890
6,894
6,895
6,896
6,897
6,899
6,900
6,901
6,903
6,904
6,905
6,906
6,908
6,910
6,913
6,914
6,915
6,918
6,920
6,921
6,922
6,924
6,926
6,927
6,928
6,933
6,934
6,936
6,937
6,938
6,940
6,941
6,943
6,945
6,946
6,947
6,949
6,951
6,953
6,954
6,955
6,956
6,958
6,959
6,960
6,962
6,964
6,967
6,968
6,969
6,970
6,972
6,974
6,975
6,976
6,978
6,979
6,981
6,983
6,985
6,987
6,991
6,992
6,993
6,996
6,997
6,999
6,1002
6,1005
6,1006
6,1009
6,1011
6,1012
6,1013
6,1014
6,1015
6,1016
6,1017
6,1018
6,1019
6,1020
6,1024
6,1026
6,1027
6,1028
6,1030
6,1032
6,1033
6,1035
6,1038
6,1042
6,1044
6,1047
6,1049
6,1050
6,1051
6,1052
6,1053
6,1054
6,1057
6,1059
6,1061
6,1062
6,1064
6,1065
6,1066
6,1067
6,1069
6,1070
6,1072
6,1073
6,1074
6,1076
6,1079
6,1080
6,1081
6,1082
6,1083
6,1087
6,1092
6,1093
6,1097
6,1099
6,1100
6,1101
6,1105
6,1107
6,1110
6,1111
6,1112
6,1113
6,1115
6,1116
6,1117
6,1123
6,1128
6,1132
6,1133
6,1134
6,1135
6,1136
6,1138
6,1139
6,1140
6,1141
6,1143
6,1144
6,1145
6,1146
6,1147
6,1148
6,1149
6,1150
6,1152
6,1156
6,1157
6,1161
6,1162
6,1163
6,1165
6,1169
6,1170
6,1172
6,1173
6,1176
6,1178
6,1186
6,1188
6,1189
6,1190
6,1192
6,1193
6,1194
6,1195
6,1196
6,1198
6,1200
6,1203
6,1204
6,1205
6,1208
6,1210
6,1211
6,1212
6,1216
6,1217
6,1221
6,1222
6,1223
6,1227
6,1229
6,1231
6,1232
6,1234
6,1237
6,1243
6,1245
6,1247
6,1248
6,1250
6,1251
6,1253
6,1258
6,1260
6,1262
6,1264
6,1268
6,1271
6,1272
6,1274
6,1275
6,1277
6,1278
6,1280
6,1281
6,1285
6,1286
6,1287
6,1288
6,1289
6,1290
6,1292
6,1293
6,1298
6,1299
6,1303
6,1305
6,1306
6,1310
6,1311
6,1312
6,1313
6,1315
6,1316
6,1317
6,1318
6,1322
6,1323
6,1324
6,1330
6,1332
6,1333
6,1334
6,1338
6,1340
6,1343
6,1345
6,1348
6,1350
6,1351
6,1354
6,1356
6,1360
6,1362
6,1363
6,1364
6,1365
6,1366
6,1367
6,1369
6,1370
6,1373
6,1374
6,1375
6,1376
6,1377
6,1381
6,1384
6,1385
6,1387
6,1390
6,1391
6,1392
6,1395
6,1397
6,1399
6,1400
6,1403
6,1404
6,1406
6,1409
6,1410
6,1411
6,1412
6,1413
6,1414
6,1415
6,1416
6,1417
6,1421
6,1423
6,1425
6,1426
6,1427
6,1428
6,1429
6,1430
6,1432
6,1433
6,1434
6,1435
6,1437
6,1441
6,1444
6,1445
6,1446
6,1448
6,1449
6,1450
6,1451
6,1452
6,1455
6,1456
6,1458
6,1459
6,1460
6,1461
6,1462
6,1463
6,1464
6,1465
6,1466
6,1471
6,1472
6,1474
6,1476
6,1477
6,1478
6,1479
6,1480
6,1481
6,1482
6,1483
6,1484
6,1485
6,1486
6,1487
6,1488
6,1490
6,1491
6,1493
6,1495
6,1496
6,1498
6,1499
6,1501
6,1504
6,1505
6,1507
6,1508
6,1509
6,1510
6,1511
6,1514
6,1515
6,1517
6,1518
6,1519
6,1522
6,1523
6,1524
6,1525
6,1528
6,1529
6,1533
6,1534
6,1535
6,1536
6,1539
6,1540
6,1544
6,1545
6,1549
6,1550
6,1551
6,1553
6,1560
6,1562
6,1565
6,1566
6,1572
6,1574
6,1575
6,1577
6,1579
6,1580
6,1582
6,1583
6,1584
6,1585
6,1586
6,1588
6,1591
6,1594
6,1597
6,1601
6,1602
6,1607
6,1608
6,1609
6,1610
6,1611
6,1612
6,1613
6,1615
6,1616
6,1619
6,1620
6,1622
6,1623
6,1624
6,1627
6,1628
6,1630
6,1633
6,1634
6,1635
6,1639
6,1642
6,1643
