Protein,Disease
1,84
2,84
4,84
5,84
6,84
7,84
8,84
9,84
11,84
12,84
14,84
15,84
16,84
18,84
19,84
20,84
22,84
26,84
27,84
28,84
29,84
30,84
32,84
33,84
35,84
36,84
38,84
40,84
41,84
43,84
44,84
46,84
47,84
48,84
49,84
50,84
51,84
52,84
53,84
54,84
55,84
56,84
58,84
59,84
60,84
61,84
62,84
63,84
65,84
70,84
74,84
75,84
77,84
78,84
79,84
80,84
81,84
82,84
84,84
86,84
89,84
94,84
95,84
96,84
97,84
99,84
101,84
104,84
106,84
107,84
108,84
109,84
110,84
111,84
112,84
113,84
114,84
115,84
116,84
117,84
118,84
119,84
120,84
122,84
123,84
124,84
125,84
126,84
127,84
129,84
131,84
132,84
133,84
134,84
136,84
137,84
138,84
139,84
141,84
142,84
143,84
144,84
145,84
146,84
147,84
148,84
149,84
150,84
151,84
152,84
153,84
154,84
155,84
156,84
157,84
158,84
159,84
161,84
162,84
163,84
164,84
165,84
166,84
168,84
170,84
171,84
173,84
175,84
176,84
177,84
179,84
181,84
183,84
184,84
187,84
188,84
189,84
191,84
192,84
193,84
194,84
196,84
197,84
198,84
199,84
200,84
204,84
205,84
206,84
207,84
208,84
210,84
213,84
214,84
216,84
217,84
218,84
219,84
220,84
221,84
222,84
224,84
225,84
226,84
227,84
228,84
229,84
233,84
237,84
239,84
240,84
243,84
245,84
249,84
251,84
252,84
254,84
259,84
260,84
267,84
268,84
269,84
270,84
272,84
273,84
274,84
276,84
277,84
278,84
279,84
280,84
281,84
282,84
284,84
287,84
288,84
292,84
293,84
294,84
295,84
296,84
297,84
299,84
301,84
302,84
305,84
306,84
307,84
308,84
310,84
311,84
312,84
313,84
314,84
316,84
318,84
319,84
320,84
321,84
322,84
323,84
324,84
325,84
326,84
328,84
329,84
330,84
331,84
333,84
334,84
335,84
337,84
338,84
340,84
341,84
342,84
343,84
345,84
346,84
347,84
348,84
349,84
352,84
353,84
354,84
355,84
356,84
358,84
360,84
361,84
365,84
367,84
368,84
369,84
370,84
371,84
373,84
375,84
376,84
377,84
378,84
379,84
380,84
382,84
383,84
384,84
386,84
388,84
389,84
391,84
394,84
395,84
396,84
397,84
399,84
400,84
401,84
402,84
404,84
405,84
406,84
407,84
408,84
410,84
411,84
412,84
413,84
414,84
415,84
416,84
417,84
420,84
421,84
423,84
424,84
425,84
426,84
427,84
430,84
431,84
432,84
434,84
438,84
439,84
440,84
441,84
445,84
446,84
447,84
449,84
452,84
453,84
454,84
455,84
456,84
457,84
459,84
460,84
461,84
462,84
463,84
464,84
465,84
466,84
467,84
468,84
469,84
470,84
472,84
473,84
475,84
476,84
477,84
478,84
479,84
480,84
481,84
482,84
482,186
484,84
485,84
486,84
488,84
489,84
490,84
491,84
492,84
493,84
494,84
496,84
497,84
498,84
499,84
500,84
501,84
502,84
503,84
506,84
508,84
509,84
510,84
511,84
513,84
514,84
515,84
516,84
517,84
520,84
522,84
523,84
525,84
526,84
527,84
528,84
530,84
532,84
535,84
537,84
538,84
539,84
541,84
543,84
544,84
545,84
548,84
549,84
550,84
551,84
552,84
553,84
554,84
555,84
556,84
557,84
558,84
560,84
561,84
562,84
564,84
565,84
566,84
567,84
568,84
569,84
570,84
571,84
572,84
573,84
576,84
577,84
579,84
581,84
582,84
583,84
584,84
586,84
587,84
588,84
589,84
590,84
591,84
592,84
593,84
594,84
595,84
598,84
600,84
601,84
602,84
604,84
605,84
606,84
607,84
608,84
609,84
610,84
611,84
613,84
614,84
615,84
616,84
618,84
620,84
622,84
623,84
624,84
626,84
627,84
628,84
629,84
630,84
631,84
632,84
633,84
634,84
635,84
637,84
638,84
639,84
640,84
641,84
642,84
643,84
644,84
648,84
650,84
653,84
654,84
656,84
657,84
658,84
659,84
660,84
661,84
662,84
663,84
664,84
665,84
667,84
669,84
670,84
671,84
675,84
677,84
678,84
679,84
680,84
681,84
682,84
684,84
685,84
686,84
687,84
689,84
690,84
691,84
692,84
693,84
694,84
696,84
697,84
699,84
700,84
701,84
702,84
703,84
704,84
705,84
706,84
708,84
709,84
710,84
712,84
713,84
715,84
716,84
717,84
718,84
720,84
721,84
724,84
726,84
728,84
732,84
733,84
734,84
735,84
736,84
737,84
739,84
741,84
743,84
744,84
745,84
746,84
747,84
748,84
749,84
751,84
752,84
753,84
754,84
755,84
756,84
757,84
759,84
760,84
761,84
763,84
764,84
765,84
766,84
767,84
770,84
771,84
772,84
774,84
775,84
776,84
777,84
778,84
779,84
780,84
783,84
784,84
787,84
788,84
789,84
790,84
796,84
798,84
800,84
802,84
804,84
805,84
806,84
812,84
813,84
814,84
817,84
818,84
822,84
824,84
827,84
828,84
829,84
830,84
831,84
832,84
833,84
835,84
836,84
837,84
838,84
840,84
841,84
842,84
843,84
846,84
849,84
850,84
851,84
852,84
854,84
855,84
856,84
859,84
860,84
863,84
866,84
868,84
869,84
870,84
871,84
872,84
874,84
875,84
876,84
877,84
878,84
879,84
881,84
882,84
883,84
884,84
885,84
886,84
887,84
888,84
889,84
890,84
894,84
895,84
896,84
897,84
899,84
900,84
901,84
903,84
904,84
905,84
906,84
908,84
909,84
910,84
911,84
912,84
913,84
914,84
915,84
916,84
918,84
919,84
920,84
921,84
922,84
923,84
924,84
925,84
926,84
927,84
928,84
929,84
933,84
934,84
936,84
937,84
938,84
940,84
941,84
943,84
944,84
945,84
946,84
947,84
948,84
949,84
951,84
952,84
953,84
954,84
955,84
956,84
958,84
959,84
960,84
961,84
962,84
963,84
964,84
967,84
968,84
969,84
970,84
971,84
972,84
973,84
974,84
975,84
976,84
977,84
978,84
979,84
980,84
981,84
983,84
984,84
985,84
986,84
987,84
991,84
992,84
993,84
994,84
996,84
997,84
999,84
1001,84
1002,84
1005,84
1006,84
1007,84
1008,84
1009,84
1010,84
1011,84
1012,84
1013,84
1014,84
1015,84
1016,84
1017,84
1018,84
1019,84
1020,84
1021,84
1023,84
1024,84
1025,84
1026,84
1027,84
1028,84
1030,84
1031,84
1032,84
1033,84
1035,84
1038,84
1039,84
1041,84
1042,84
1044,84
1045,84
1046,84
1047,84
1049,84
1050,84
1051,84
1052,84
1053,84
1054,84
1056,84
1057,84
1059,84
1060,84
1061,84
1062,84
1064,84
1065,84
1066,84
1067,84
1068,84
1069,84
1070,84
1072,84
1073,84
1074,84
1076,84
1077,84
1079,84
1080,84
1081,84
1082,84
1083,84
1087,84
1090,84
1092,84
1093,84
1094,84
1095,84
1096,84
1097,84
1098,84
1099,84
1100,84
1101,84
1103,84
1104,84
1105,84
1107,84
1108,84
1110,84
1111,84
1112,84
1113,84
1115,84
1116,84
1117,84
1120,84
1122,84
1123,84
1128,84
1129,84
1130,84
1131,84
1132,84
1133,84
1134,84
1135,84
1136,84
1137,84
1138,84
1139,84
1140,84
1141,84
1142,84
1143,84
1144,84
1145,84
1146,84
1147,84
1148,84
1149,84
1150,84
1151,84
1152,84
1153,84
1155,84
1156,84
1157,84
1158,84
1159,84
1160,84
1161,84
1162,84
1163,84
1165,84
1166,84
1168,84
1169,84
1170,84
1172,84
1173,84
1174,84
1175,84
1176,84
1178,84
1183,84
1186,84
1187,84
1188,84
1189,84
1190,84
1191,84
1192,84
1193,84
1194,84
1195,84
1196,84
1198,84
1200,84
1201,84
1203,84
1204,84
1205,84
1208,84
1210,84
1211,84
1212,84
1214,84
1215,84
1216,84
1217,84
1219,84
1221,84
1222,84
1223,84
1227,84
1228,84
1229,84
1231,84
1232,84
1234,84
1235,84
1237,84
1238,84
1240,84
1243,84
