GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
1700012B07RIKL,287783,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,4.57,,15020195
1700040F17RIKL,501587,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,5.33,,15020195
2600A1A2,415022,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,5.33,,15020195
6430548M08RIKL,307907,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,4.20,,15020195
A1BG,1,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,16.05,,20156427
A1BG,1,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,16.05,,2009908|7657819
A1BG,1,IMMUNE SUPPRESSION,OMIM:146850,,Plant Preparations,16.05,,20156427
A1CF,29974,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.32,,20156427
A1CF,29974,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.32,,15020195
A2M,2,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,17.94,,15020195
A2M,2,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,17.94,,20156427
A2M,2,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,17.94,,2009908|7657819
A2M,2,IMMUNE SUPPRESSION,OMIM:146850,,Plant Preparations,17.94,,20156427
A2ML1,144568,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.68,,15020195
AACS,65985,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.01,,20156427
AACS,65985,"TOBACCO ADDICTION, SUSCEPTIBILITY TO",OMIM:188890,,Nicotine,3.65,,11259349|16720336|16785264
AADAC,13,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.16,,20156427
AADACL4FM2,627085,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,4.98,,15020195
AADAT,51166,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.10,,20156427
AAK1,22848,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.19,,20156427
AAMDC,28971,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.26,,20156427
AAMP,14,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,4.01,,15020195
AARS1,16,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,19.60,,15020195
AARS1,16,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,19.60,,20156427
AARS1,16,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,19.60,,15020195
AARS1,16,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,19.60,,2009908|7657819
AARSD1,80755,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.63,,20156427
AASDHPPT,60496,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.57,,15020195
AASS,10157,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,14.14,,20156427
AASS,10157,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,14.14,,15020195
AASS,10157,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,14.14,,15020195
AATF,26574,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.27,,20156427
AATK,9625,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.45,,15020195
AATK,9625,"TOBACCO ADDICTION, SUSCEPTIBILITY TO",OMIM:188890,,Nicotine,3.88,,11259349|16720336|16785264
ABAT,18,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,13.02,,20156427
ABAT,18,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,13.02,,15020195
ABAT,18,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,13.02,,2009908|7657819
ABCA1,19,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,16.02,,15020195
ABCA1,19,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,16.02,,20156427
ABCA1,19,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,16.02,,15020195
ABCA1,19,IMMUNE SUPPRESSION,OMIM:146850,,Plant Preparations,16.02,,20156427
ABCA1,19,"TOBACCO ADDICTION, SUSCEPTIBILITY TO",OMIM:188890,,Nicotine,3.14,,11259349|16720336|16785264
ABCA12,26154,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.20,,20156427
ABCA12,26154,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.20,,15020195
ABCA13,154664,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.60,,15020195
ABCA17,381072,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.83,,15020195
ABCA1A,558924,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.67,,20156427
ABCA2,20,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.15,,20156427
ABCA3,21,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.65,,20156427
ABCA3,21,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.65,,15020195
ABCA4,24,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.48,,15020195
ABCA5,23461,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.52,,20156427
ABCA5,23461,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.52,,15020195
ABCA6,23460,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.03,,20156427
ABCA6,23460,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.03,,15020195
ABCA8,10351,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.05,,20156427
ABCA8,10351,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.05,,15020195
ABCA8A,217258,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.36,,15020195
ABCB1,5243,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,13.18,,15020195
ABCB1,5243,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,13.18,,20156427
ABCB1,5243,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,13.18,,2009908|7657819
ABCB1,5243,IMMUNE SUPPRESSION,OMIM:146850,,Plant Preparations,13.18,,20156427
ABCB10,23456,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.13,,20156427
ABCB10,23456,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.13,,15020195
ABCB11,8647,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,10.52,,20156427
ABCB11,8647,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,10.52,,15020195
ABCB11,8647,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,10.52,,15020195
ABCB1A,18671,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,11.87,,15020195
ABCB1A,18671,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,11.87,,20156427
ABCB1A,18671,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,11.87,,15020195
